timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
211928.372,2.135999917984009,-807315598,353037562
212028.372,2.132999897003174,-807315615,353037556
212128.372,2.132999897003174,-807315624,353037553
212228.372,2.128000020980835,-807315631,353037551
212328.372,2.125,-807315641,353037549
212428.372,2.125,-807315648,353037547
212528.372,2.122999906539917,-807315658,353037545
212628.372,2.119999885559082,-807315668,353037543
212728.372,2.119999885559082,-807315676,353037541
212828.372,2.119999885559082,-807315685,353037538
212928.372,2.121999979019165,-807315693,353037536
213028.372,2.125999927520752,-807315702,353037533
213128.372,2.122999906539917,-807315712,353037530
213228.372,2.121000051498413,-807315730,353037525
213328.372,2.119999885559082,-807315737,353037522
213428.372,2.11899995803833,-807315747,353037519
213528.372,2.121999979019165,-807315757,353037516
213628.372,2.113999843597412,-807315765,353037513
213728.372,2.109999895095825,-807315775,353037510
213828.372,2.115000009536743,-807315783,353037508
213928.372,2.115000009536743,-807315792,353037505
214028.372,2.13100004196167,-807315802,353037501
214128.372,2.129999876022339,-807315810,353037498
214228.372,2.132999897003174,-807315820,353037495
214328.372,2.133999824523926,-807315830,353037491
214428.372,2.131999969482422,-807315848,353037485
214528.372,2.131999969482422,-807315856,353037482
214628.372,2.13100004196167,-807315867,353037478
214728.372,2.126999855041504,-807315875,353037476
214828.372,2.125999927520752,-807315886,353037473
214928.372,2.134999990463257,-807315896,353037470
215028.372,2.131999969482422,-807315905,353037468
215128.372,2.133999824523926,-807315915,353037466
215228.372,2.138000011444092,-807315924,353037464
215328.372,2.1399998664855957,-807315935,353037461
215428.372,2.1369998455047607,-807315945,353037458
215528.372,2.1449999809265137,-807315965,353037453
215628.372,2.1389999389648438,-807315973,353037451
215728.372,2.138000011444092,-807315984,353037448
215828.372,2.126999855041504,-807315995,353037446
215928.372,2.132999897003174,-807316004,353037444
216028.372,2.133999824523926,-807316015,353037441
216128.372,2.132999897003174,-807316023,353037439
216228.372,2.131999969482422,-807316034,353037436
216328.372,2.135999917984009,-807316045,353037432
216428.372,2.1389999389648438,-807316053,353037430
216528.372,2.1389999389648438,-807316064,353037427
216628.372,2.1459999084472656,-807316083,353037421
216728.372,2.1410000324249268,-807316094,353037417
216828.372,2.1459999084472656,-807316102,353037414
216928.372,2.1480000019073486,-807316112,353037410
217028.372,2.1469998359680176,-807316120,353037407
217128.372,2.1510000228881836,-807316130,353037403
217228.372,2.1549999713897705,-807316139,353037400
217328.372,2.1559998989105225,-807316147,353037397
217428.372,2.1529998779296875,-807316156,353037393
217528.372,2.1519999504089355,-807316164,353037389
217628.372,2.1539998054504395,-807316174,353037386
217728.372,2.1559998989105225,-807316191,353037379
217828.372,2.1529998779296875,-807316201,353037375
217928.372,2.1529998779296875,-807316209,353037372
218028.372,2.1529998779296875,-807316219,353037368
218128.372,2.1510000228881836,-807316229,353037363
218228.372,2.1480000019073486,-807316237,353037360
218328.372,2.1480000019073486,-807316246,353037357
218428.372,2.1480000019073486,-807316254,353037354
218528.372,2.1469998359680176,-807316263,353037351
218628.372,2.1489999294281006,-807316270,353037348
218728.372,2.1510000228881836,-807316280,353037345
218828.372,2.1529998779296875,-807316290,353037342
218928.372,2.1489999294281006,-807316309,353037336
219028.372,2.1469998359680176,-807316317,353037334
219128.372,2.1469998359680176,-807316327,353037331
219228.372,2.1589999198913574,-807316335,353037328
219328.372,2.1629998683929443,-807316346,353037325
219428.372,2.1629998683929443,-807316356,353037322
219528.372,2.1619999408721924,-807316365,353037320
219628.372,2.1649999618530273,-807316375,353037317
219728.372,2.1660001277923584,-807316384,353037315
219828.372,2.1660001277923584,-807316394,353037313
219928.372,2.1689999103546143,-807316404,353037310
220028.372,2.1710000038146973,-807316412,353037309
220128.372,2.176999807357788,-807316433,353037303
220228.372,2.174999952316284,-807316441,353037301
220328.372,2.176999807357788,-807316452,353037298
220428.372,2.177999973297119,-807316461,353037295
220528.372,2.177999973297119,-807316470,353037292
220628.372,2.180999994277954,-807316480,353037288
220728.372,2.18399977684021,-807316488,353037285
220828.372,2.190000057220459,-807316497,353037281
220928.372,2.193000078201294,-807316505,353037279
221028.372,2.1989998817443848,-807316515,353037275
221128.372,2.200000047683716,-807316525,353037272
221228.372,2.2019999027252197,-807316542,353037266
221328.372,2.203000068664551,-807316550,353037264
221428.372,2.2100000381469727,-807316560,353037261
221528.372,2.2160000801086426,-807316569,353037258
221628.372,2.2200000286102295,-807316577,353037256
221728.372,2.2239999771118164,-807316587,353037252
221828.372,2.2239999771118164,-807316595,353037250
221928.372,2.2269999980926514,-807316606,353037247
222028.372,2.2239999771118164,-807316616,353037244
222128.372,2.2289998531341553,-807316624,353037241
222228.372,2.2339999675750732,-807316635,353037238
222328.372,2.244999885559082,-807316653,353037232
222428.372,2.251999855041504,-807316664,353037229
222528.372,2.253000020980835,-807316672,353037227
222628.372,2.250999927520752,-807316682,353037224
222728.372,2.251999855041504,-807316690,353037221
